TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NO_MUNICIPIO_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;TP_PRESENCA_GERAL;NU_DESEMPENHO;NU_MEDIA_GERAL;NU_INFRAESTRUTURA
3;F;1;1;1;2;0;1.0;São Sebastião do Anta;MG;2.0;1.0;Inhapim;MG;1;1;1;1;514.0;534.5;535.0;394.2;EAEACDAEDDCEBBCCAAAAABBEDEABCBDCACECBDADBEBDA;ABEACCDABDAEEBDEACEDDABABBDDDEDBAACABEEBBAADE;DABBAEABCCBEACCBEDDDACDDBCCAEDBDDCDDBAEDCCADC;CBDBEDDEADDCCDAEADCEDBBDCCAAEEDAAEDACDBEBCBDC;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1.0;120;120;120;120;80;560;A;C;A;A;7;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;1;2;507.55;3
5;F;0;3;2;1;2;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;São Paulo;SP;1;1;1;1;547.5;568.5;561.5;534.0;DBEBBDCCBABEEBACECBCCADADBDECAACBADCDCBEDBCAD;ACDCEABADCBCADEDBBDABCDCABCBEADEACDCAEBDBDACD;ABABCBABDECDEDAADABDBDCDCCACCBECADABCEDBACAEB;BDCDABCCDBCBCBDBDEACAECAECDEEBACDCDECBEBDCAEC;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1.0;160;180;160;140;200;840;B;B;B;B;5;B;A;B;C;A;A;B;B;B;A;B;A;B;C;A;A;C;B;B;B;1;1;610.3;1
5;F;1;3;1;1;2;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Paranavaí;PR;1;1;1;1;410.8;391.2;557.5;372.8;AEDCECAABCCBCCCDDEECBCCACEECACDDEBDEDEDBCCEBC;CDCDDA.EEBCEBDCCDCADADBBDABDBDADCDECCEACECBDC;B.AABDACEEDCABBDDADDDABEEB.DBAEEBBAAEAACBEAAE;ACABCCACDADADEA.DECBDDADCEDBCCDDEBDBCBDB.DDCB;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1.0;100;180;120;100;120;620;E;E;B;B;5;C;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;A;B;1;2;470.45;2
5;M;1;3;1;1;2;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Manaus;AM;1;1;1;1;495.0;610.5;570.0;534.5;EBCBCDBDDADDEEECDBCBEDABEDCDBBBCEAEEBCDDCDCEC;ACEAAADADCBACDECBEDADCDCEDCBDAAEBEECABCDDCAAD;EBABCABDDACDCDAECAEBACCCACACDAAAAECBBBCAACAED;BCDDCEDADCCADAEBBCCAACCBABAEDACEBEBDCAECEAADB;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1.0;120;60;80;60;0;320;F;H;E;B;7;C;A;E;E;B;A;B;A;B;A;B;A;A;B;A;A;E;B;C;B;1;2;506.0;1
2;F;2;1;1;2;0;1.0;Jataí;GO;2.0;1.0;Jataí;GO;1;1;1;1;422.5;367.0;366.2;368.8;ABBEBCEBACBCCEBBBCBDCBADBDCDCCCCEDAABBBDBCABB;BADBBABDABBABDCDCCBDBBCCCDCBCDBBBDDBCDDBABDCA;ABDCEEBABCDBACDDECEABCADBDDBABABABBADEBCDADCA;DBCBDCCEDBDBDDCBCBDCBBCBCCBDDABCACEDBCBACDCBC;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;6.0;0;0;0;0;0;0;E;D;D;A;6;B;A;B;C;A;C;B;A;B;A;B;A;B;B;B;B;E;A;A;B;1;3;304.9;1
5;F;1;2;1;1;2;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Pelotas;RS;1;1;1;1;552.0;577.0;555.0;616.5;EBDCDCDEEEBDEBCDBCDEBBCACDDDBCEEDBEADDBDAACBB;CDBAECDDAACEAACECBDAADCDCDBCDCDAEDADCCEDDADDE;BCABBBEAAEDBCDBABEDEDDBEABABDABDACAACACCBEAAE;BCEBBBDCEBCCBCADECBDDCADCEBDCCECCCEEBEDCADBED;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1.0;160;140;100;160;160;720;E;D;D;D;2;D;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B;1;1;604.1;2
2;F;1;1;1;2;0;1.0;Nova Iguaçu;RJ;2.0;1.0;Nova Iguaçu;RJ;1;1;1;1;506.0;602.5;618.0;553.0;ABBBADABEDBEBCDCDEEBECAABAABBCBDDEEEBECEDCBEE;DAAADEABCDCABDBCBAEBBCCAAAAABBACECEAECADAABDA;BCBDBCCEAEDEADBBACBBAAADAAABCBBEBBECADBDEDDAC;BAAAAEDECEEEADDAEAACDAECCCAECDCDBDCABCEABADDB;0;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1.0;140;200;140;120;120;720;E;E;B;D;4;A;A;B;C;A;A;B;B;B;A;B;A;A;B;A;B;C;A;A;B;1;2;599.9;2
2;F;1;1;1;2;0;1.0;Luzerna;SC;2.0;1.0;Joaçaba;SC;1;1;1;1;521.0;382.2;403.8;587.0;EACDCCDBEDBDCACDBCEBBCABCDDEADEDDBECECDDBCCCD;DEECBBEBBBCDBAAADCCDBEADDEECDDBDEBDDCCEACBBDD;BCEBBCAEBADADABDCDDBADCDDDCBECACAEBEEBCDACEAB;BDCCABBCAEBCDBCCDCBCDDDDBDAEBCDCDDCDDEADADBED;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1.0;120;120;120;120;100;580;B;B;A;A;3;B;A;C;D;B;A;B;C;B;A;B;A;A;B;B;A;C;A;B;B;1;2;494.8;1
10;F;1;3;1;1;6;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Aparecida de Goiânia;GO;1;1;1;1;497.2;590.0;490.2;568.0;ACCECDCDCDBDBCCEADEDDACADDAACEBEDEDDCAAEABBED;DAACDECDCDCEBDBAEDEDAEBABCCACDACEDDDECADAABCD;BBACEEAEABDAAEABACBBCAEDBAABBBBEDDACBBCDCACEB;ECDAADDECECDBDBCBDCDBADCBEBCBDCCBDCBCDEECBCBC;1;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1.0;120;120;100;100;120;560;E;B;D;B;3;D;B;C;C;B;A;B;B;B;A;B;A;A;B;B;A;D;B;B;B;1;2;541.1;1
2;F;1;1;1;2;0;1.0;Vitor Meireles;SC;2.0;1.0;Rio do Sul;SC;1;1;1;1;511.5;458.2;481.5;589.5;CBBACEDADEBBEEEEDCBBBBECCBBAEDECDBDACECAACDBE;BEABDBECCBADEAEBDAACAECDCCBECCBECBDABEDBEADDE;BBABBCADACDCBDBADCDEECAEBAACCECAABEDABECDDACE;EAECDBCCDABDDEACBAEDDECDADBCCDDCACDEEEBCAEDDB;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1.0;140;200;140;140;160;780;F;C;A;B;3;H;A;D;D;B;A;B;B;B;B;B;A;B;C;A;B;E;A;B;B;1;2;564.15;1
